,exec_date,countrycode,name_server,ns_ip,ns_ipv6,asnv4,asnv6,ccv4,ccv6
0,2019-10-29,"BJ
",ns.cocca.fr.,185.17.236.93,2a03:dd40:3::93,61025,61025,FR,FR
1,2019-10-29,"BJ
",pch.nic.BJ.,204.61.216.125,2001:500:14:6125:ad::1,42,42,US,Unknown
2,2019-10-29,"BJ
",ns-bj.nic.fr.,194.0.9.1,2001:678:c::1,2484,2484,FR,FR
3,2019-10-29,"BJ
",ns2.nic.BJ.,41.85.191.2,Failed,28683,Unknown,US,Unknown
4,2019-10-29,"BJ
",ns1.nic.BJ.,154.65.31.84,Failed,328098,Unknown,JP,Unknown
5,2019-10-29,"BI
",ns1.nic.BI.,196.2.12.205,Failed,25429,Unknown,BI,Unknown
6,2019-10-29,"BI
",anyns.nic.BI.,204.61.216.61,2001:500:14:6061:ad::1,42,42,US,Unknown
7,2019-10-29,"BI
",ns-bi.afrinic.net.,196.216.168.23,2001:43f8:120::23,37177,37177,ZA,Unknown
8,2019-10-29,"BI
",bi.cctld.authdns.ripe.net.,193.0.9.62,2001:67c:e0::62,197000,197000,Unknown,NL
9,2019-10-29,"BI
",ns.nic.BI.,196.2.8.205,Failed,25429,Unknown,BI,Unknown
10,2019-10-29,"COM
",h.gtld-servers.net.,192.54.112.30,2001:502:8cc::30,10515,10515,AU,Unknown
11,2019-10-29,"COM
",k.gtld-servers.net.,192.52.178.30,2001:503:d2d::30,20431,40647,US,Unknown
12,2019-10-29,"COM
",g.gtld-servers.net.,192.42.93.30,2001:503:eea3::30,29966,32651,US,Unknown
13,2019-10-29,"COM
",d.gtld-servers.net.,192.31.80.30,2001:500:856e::30,27544,27544,US,Unknown
14,2019-10-29,"COM
",f.gtld-servers.net.,192.35.51.30,2001:503:d414::30,29966,32651,US,Unknown
15,2019-10-29,"COM
",c.gtld-servers.net.,192.26.92.30,2001:503:83eb::30,27544,27544,US,Unknown
16,2019-10-29,"COM
",e.gtld-servers.net.,192.12.94.30,2001:502:1ca1::30,29966,32651,US,Unknown
17,2019-10-29,"COM
",j.gtld-servers.net.,192.48.79.30,2001:502:7094::30,10515,10515,US,Unknown
18,2019-10-29,"COM
",m.gtld-servers.net.,192.55.83.30,2001:501:b1f9::30,20431,40647,US,Unknown
19,2019-10-29,"COM
",i.gtld-servers.net.,192.43.172.30,2001:503:39c1::30,10515,10515,US,Unknown
20,2019-10-29,"COM
",l.gtld-servers.net.,192.41.162.30,2001:500:d937::30,20431,40647,US,Unknown
21,2019-10-29,"COM
",b.gtld-servers.net.,192.33.14.30,2001:503:231d::2:30,26415,26415,US,Unknown
22,2019-10-29,"COM
",a.gtld-servers.net.,192.5.6.30,2001:503:a83e::2:30,26415,27544,BR,Unknown
23,2019-10-29,"SN
",ns1.sonatel.SN.,213.154.64.11,Failed,8346,Unknown,EG,Unknown
24,2019-10-29,"SN
",ns-sn.nic.fr.,194.0.9.1,2001:678:c::1,2484,2484,FR,FR
25,2019-10-29,"SN
",censvrns0001.ird.fr.,91.203.32.147,Failed,44850,Unknown,FR,Unknown
26,2019-10-29,"SN
",ns.ucad.SN.,196.1.95.1,Failed,8346,Unknown,ZA,Unknown
27,2019-10-29,"SN
",sn.cctld.authdns.ripe.net.,193.0.9.111,2001:67c:e0::111,197000,197000,Unknown,NL
28,2019-10-29,"ZA
",za1.dnsnode.net.,194.146.106.78,2001:67c:1010:19::53,8674,8674,SE,SE
29,2019-10-29,"ZA
",sns-pb.isc.org.,192.5.4.1,2001:500:2e::1,3557,3557,BR,Unknown
30,2019-10-29,"ZA
",nsza.is.co.ZA.,196.4.160.27,Failed,3741,Unknown,ZA,Unknown
31,2019-10-29,"ZA
",za-ns.anycast.pch.net.,204.61.216.55,2001:500:14:6055:ad::1,42,42,US,Unknown
32,2019-10-29,"US
",k.cctld.US.,156.154.128.70,2001:503:e239::3:1,397213,397213,US,Unknown
33,2019-10-29,"US
",b.cctld.US.,156.154.125.70,2001:502:ad09::29,397213,397213,US,Unknown
34,2019-10-29,"US
",e.cctld.US.,156.154.126.70,Failed,397213,Unknown,US,Unknown
35,2019-10-29,"US
",f.cctld.US.,209.173.58.70,2001:500:3682::11,397213,397213,CA,Unknown
36,2019-10-29,"US
",c.cctld.US.,156.154.127.70,Failed,397215,Unknown,US,Unknown
37,2019-10-29,"US
",a.cctld.US.,156.154.124.70,Failed,397220,Unknown,US,Unknown
38,2019-10-29,JP,c.dns.JP.,156.154.100.5,2001:502:ad09::5,397219,397213,US,Unknown
39,2019-10-29,JP,e.dns.JP.,192.50.43.53,2001:200:c000::35,23634,23634,JP,Unknown
40,2019-10-29,JP,f.dns.JP.,150.100.6.8,2001:2f8:0:100::153,2907,2907,JP,Unknown
41,2019-10-29,JP,b.dns.JP.,202.12.30.131,2001:dc2::1,2515,2515,AU,Unknown
42,2019-10-29,JP,d.dns.JP.,210.138.175.244,2001:240::53,2497,2497,US,Unknown
43,2019-10-29,JP,g.dns.JP.,203.119.40.1,Failed,24252,Unknown,AU,Unknown
44,2019-10-29,JP,a.dns.JP.,203.119.1.1,2001:dc4::1,23774,23774,AU,Unknown
45,2019-10-29,JP,h.dns.JP.,65.22.40.25,2a01:8840:1ba::25,12041,12041,US,IE
